Partlist

Exported from dac2_v2.brd at 8/26/2017 10:09:18 AM

EAGLE Version 5.12.0 Copyright (c) 1988-2011 CadSoft

Part     Value          Package       Library        Position (inch)       Orientation

C1       0.1u           C0603         rcl            (1 2.59)              R0
C2       0.1u           C0603         rcl            (1.24 2.1)            R0
C3       0.1u           C0603         rcl            (1.36 2.1)            R0
C4       10u            PANASONIC_B   rcl            (1.42 1.95)           R180
C5       10u            PANASONIC_B   rcl            (0.49 3.49)           MR270
C6       2200u          PANASONIC_H13 cdp            (1.21 3.15)           R270
C7       0.1u           C0603         rcl            (1.12 2.59)           R180
C8       10u            PANASONIC_B   rcl            (1.04 2.75)           R0
C9       0.1u           C0603         rcl            (1.24 2.59)           R0
C10      10u            C1206         rcl            (0.82 3.21)           R180
C11      0.1u           C0603         rcl            (1.36 2.59)           R0
C12      10u            PANASONIC_B   rcl            (1.42 2.75)           R180
C13      0.1u           C0603         rcl            (1.47 2.29)           R90
C14      10u            PANASONIC_B   rcl            (1.64 2.22)           R270
C15      0.1u           C0603         rcl            (1.47 2.41)           R270
C16      10u            PANASONIC_B   rcl            (1.64 2.48)           R90
C17      10u            C1206         rcl            (0.55 2.79)           R270
C18      1u             C0603         rcl            (0.68 2.74)           R180
C19      2200u          PANASONIC_H13 cdp            (1.01 1.76)           R90
C20      10u            C1206         rcl            (0.66 3.15)           R90
C21      10u            PANASONIC_B   rcl            (0.585 3.93)          R0
C22      10u            PANASONIC_B   rcl            (0.585 4.5)           R180
C23      0.1u           C0603         rcl            (0.58 4.08)           R180
C24      0.1u           C0603         rcl            (0.58 4.35)           R0
C25      1n             C0603         rcl            (0.31 4.23)           R90
C26      3.3n           C0603         rcl            (0.925 4.355)         R90
C27      4.7n           C0603         rcl            (0.96 4.105)          R0
C28      1u             C050-050X075  rcl            (0.935 3.93)          R0
C29      10u            C1206         rcl            (0.7 3.48)            MR0
C30      10u            C1206         rcl            (0.77 3.67)           MR270
C31      10u            C1206         rcl            (2.02 3.59)           MR180
C32      10u            C1206         rcl            (2.19 3.74)           MR270
C33      10n            C0603         rcl            (1.68 0.47)           R0
C34      10n            C0603         rcl            (1.68 0.39)           R0
C35      10u            C1206         rcl            (1.025 1.195)         R270
C36      1u             C0805         rcl            (1.13 0.65)           R180
C37      10n            C0402         rcl            (1.33 0.61)           R180
C38      10n            C0402         rcl            (0.93 0.62)           R0
C39      10n            C0402         rcl            (1.33 0.3)            R180
C40      10n            C0402         rcl            (0.93 0.3)            R0
C41      10u            C1206         rcl            (1.025 0.965)         R90
C42      1u             C0805         rcl            (1.385 1.235)         R90
C43      1u             C0805         rcl            (1.385 0.855)         R90
C44      10u            C1206         rcl            (1.135 0.795)         R180
C45      330u           CT7343        rcl            (1.575 1.045)         R90
C46      10u            PANASONIC_B   rcl            (0.585 4.86)          R0
C47      10u            PANASONIC_B   rcl            (0.585 5.43)          R180
C48      0.1u           C0603         rcl            (0.58 5.01)           R180
C49      0.1u           C0603         rcl            (0.58 5.28)           R0
C50      1n             C0603         rcl            (0.31 5.16)           R90
C51      3.3n           C0603         rcl            (0.925 5.285)         R90
C52      4.7n           C0603         rcl            (0.96 5.035)          R0
C53      1u             C050-050X075  rcl            (0.935 4.86)          R0
C54      10u            PANASONIC_B   rcl            (1.875 4.52)          R180
C55      10u            PANASONIC_B   rcl            (1.875 3.95)          R0
C56      0.1u           C0603         rcl            (1.88 4.37)           R0
C57      0.1u           C0603         rcl            (1.88 4.1)            R180
C58      1n             C0603         rcl            (2.15 4.22)           R270
C59      3.3n           C0603         rcl            (1.535 4.095)         R270
C60      4.7n           C0603         rcl            (1.5 4.345)           R180
C61      1u             C050-050X075  rcl            (1.525 4.52)          R180
C62      10u            PANASONIC_B   rcl            (1.875 5.42)          R180
C63      10u            PANASONIC_B   rcl            (1.875 4.85)          R0
C64      0.1u           C0603         rcl            (1.88 5.27)           R0
C65      0.1u           C0603         rcl            (1.88 5)              R180
C66      1n             C0603         rcl            (2.15 5.12)           R270
C67      3.3n           C0603         rcl            (1.535 4.995)         R270
C68      4.7n           C0603         rcl            (1.5 5.245)           R180
C69      1u             C050-050X075  rcl            (1.525 5.42)          R180
C70      10u            PANASONIC_B   rcl            (1.78 3.75)           MR0
C71      1u             C0805         rcl            (0.53 0.98)           R270
C72      0.1u           C0603         rcl            (0.74 5.74)           R180
C73      0.1u           C0603         rcl            (0.71 6.04)           R180
C74      0.1u           C0603         rcl            (1.68 5.73)           R180
C75      0.1u           C0603         rcl            (1.66 6.04)           R180
C76      10u            C1206         rcl            (0.88 1.68)           MR90
C77      1u             C0603         rcl            (0.96 1.45)           MR0
C81      0.1u           C0603         rcl            (1.12 1.46)           MR90
C82      0.1u           C0603         rcl            (1.685 1.43)          MR270
D1       MMSZ5235B      SOD123        cdp            (1.78 3.61)           MR180
D2       MMSZ5235B      SOD123        cdp            (0.44 3.25)           MR90
J1       MOD-V2         MOD-V2        cdp            (1.2 1.75)            R0
J2                      MA04-1        con-lstb       (1.65 6.2)            R0
J3                      MA04-1        con-lstb       (0.71 6.19)           R180
L1       BEAD           R1206         rcl            (1.02 1.68)           MR270
L2       BEAD           R1206         rcl            (0.61 2.96)           R0
Q1       D44H11MT       DPAK          cdp            (0.66 3.13)           MR180
Q2       D45H11MT       DPAK          cdp            (1.88 3.29)           MR180
R1       22             R0603         rcl            (0.84 3.34)           R0
R2       22             R0603         rcl            (0.81 2.03)           R0
R3       1              R0603         rcl            (0.68 2.84)           R0
R4       10             R0603         rcl            (0.485 4.195)         R180
R5       24.9           R0603         rcl            (0.96 4.235)          R180
R6       249            R0603         rcl            (1.03 4.315)          R180
R7       249            R0603         rcl            (1.06 4.18)           R90
R8       100k           R0603         rcl            (1.16 4.18)           R270
R9       100            R0603         rcl            (1.53 0.43)           R270
R10      22             R0603         rcl            (0.69 0.64)           R270
R11      4.12k          R0603         rcl            (1.18 0.21)           R270
R12      50             R0603         rcl            (0.78 0.39)           R0
R13      50             R0603         rcl            (0.78 0.47)           R0
R14      50             R0603         rcl            (0.71 0.27)           R270
R15      10             R0603         rcl            (0.485 5.125)         R180
R16      24.9           R0603         rcl            (0.96 5.165)          R180
R17      249            R0603         rcl            (1.03 5.245)          R180
R18      249            R0603         rcl            (1.06 5.11)           R90
R19      100k           R0603         rcl            (1.16 5.11)           R270
R20      10             R0603         rcl            (1.975 4.255)         R0
R21      24.9           R0603         rcl            (1.5 4.215)           R0
R22      249            R0603         rcl            (1.43 4.135)          R0
R23      249            R0603         rcl            (1.4 4.27)            R270
R24      100k           R0603         rcl            (1.3 4.27)            R90
R25      10             R0603         rcl            (1.975 5.155)         R0
R26      24.9           R0603         rcl            (1.5 5.115)           R0
R27      249            R0603         rcl            (1.43 5.035)          R0
R28      249            R0603         rcl            (1.4 5.17)            R270
R29      100k           R0603         rcl            (1.3 5.17)            R90
R30      100            R0603         rcl            (1.35 2.6)            MR90
R31      100            R0603         rcl            (1.43 2.6)            MR90
R32      100            R0603         rcl            (1.61 2.24)           MR90
R33      100            R0603         rcl            (1.53 2.24)           MR90
R34      825            R0603         rcl            (0.44 3.05)           MR90
R35      825            R0603         rcl            (1.88 3.49)           MR90
R36      50             R0603         rcl            (0.33 2.25)           R180
R37      50             R0603         rcl            (0.33 2.05)           R180
R38      50             R0603         rcl            (0.1 2)               R270
R39      50             R0603         rcl            (0.33 1.85)           R180
R40      45.3           R0603         rcl            (1.05 5.99)           R180
R41      10.5           R0603         rcl            (1.05 5.92)           R180
R42      2.49           R0603         rcl            (1.05 5.85)           R180
R43      0              R0603         rcl            (1.05 5.78)           R180
R44      90.9           R0603         rcl            (1.05 5.71)           R180
R45      45.3           R0603         rcl            (0.42 5.99)           R180
R46      10.5           R0603         rcl            (0.42 5.92)           R180
R47      2.49           R0603         rcl            (0.42 5.85)           R180
R48      0              R0603         rcl            (0.42 5.78)           R180
R49      90.9           R0603         rcl            (0.42 5.71)           R0
R50      45.3           R0603         rcl            (1.96 5.98)           R180
R51      10.5           R0603         rcl            (1.96 5.91)           R180
R52      2.49           R0603         rcl            (1.96 5.84)           R180
R53      0              R0603         rcl            (1.96 5.77)           R180
R54      90.9           R0603         rcl            (1.96 5.7)            R180
R55      45.3           R0603         rcl            (1.36 5.98)           R180
R56      10.5           R0603         rcl            (1.36 5.91)           R180
R57      2.49           R0603         rcl            (1.36 5.84)           R180
R58      0              R0603         rcl            (1.36 5.77)           R180
R59      90.9           R0603         rcl            (1.36 5.7)            R0
R60      1              R0603         rcl            (0.96 1.53)           MR180
U1       AK4490         P-QFP48-7X7MM cdp            (1.2 2.35)            R0
U2       ADA4899-1      LFCSP8        cdp            (0.71 4.205)          R180
U3       ADP7142        SOT23-DBV     cdp            (0.62 3.68)           MR0
U4       ADP7182        SOT23-DBV     cdp            (2.04 3.74)           MR0
U5       ADM7160        SOT23-DBV     cdp            (0.82 3.05)           R270
U6       AD9515         LFCSP32       cdp            (1.13 0.47)           R180
U7       ADA4899-1      LFCSP8        cdp            (0.71 5.135)          R180
U8       ADM7154        SO8-EP        cdp            (1.215 1.085)         R0
U9       ADA4899-1      LFCSP8        cdp            (1.75 4.245)          R0
U10      ADA4899-1      LFCSP8        cdp            (1.75 5.145)          R0
U12      LF50ABDT       DPACK         cdp            (0.72 1.27)           R0
U13      DG9424E        TSSOP16       analog-devices (0.72 5.89)           R0
U14      DG9424E        TSSOP16       analog-devices (1.66 5.88)           R0
U21      74164FT        TSSOP14       cdp            (1.28 1.61)           MR0
U22      74LVTH574      TSSOP20       cdp            (1.57 1.62)           MR90
