Partlist

Exported from isolator_v2.sch at 7/30/2017 10:14:05 PM

EAGLE Version 5.12.0 Copyright (c) 1988-2011 CadSoft

Part     Value          Device          Package           Library           Sheet

C111     0.1u           C-USC0603       C0603             rcl               6
C112     0.1u           C-USC0603       C0603             rcl               6
C113     0.1u           C-USC0603       C0603             rcl               6
C114     0.1u           C-USC0603       C0603             rcl               6
C115     0.1u           C-USC0603       C0603             rcl               6
C116     0.1u           C-USC0603       C0603             rcl               6
C121     0.1u           C-USC0603       C0603             rcl               1
C122     10n            C-USC0603       C0603             rcl               1
C123     10n            C-USC0603       C0603             rcl               1
C181     10u            C-USC1206       C1206             rcl               6
C182     1u             C-USC1206       C1206             rcl               6
C183     1u             C-USC1206       C1206             rcl               6
C184     10u            C-USC1206       C1206             rcl               6
C201     0.1u           C-USC0603       C0603             rcl               1
C202     0.1u           C-USC0603       C0603             rcl               1
C203     0.1u           C-USC0603       C0603             rcl               1
C204     0.1u           C-USC0603       C0603             rcl               1
C205     0.1u           C-USC0603       C0603             rcl               1
C206     0.1u           C-USC0603       C0603             rcl               1
C211     0.1u           C-USC0603       C0603             rcl               1
C212     0.1u           C-USC0603       C0603             rcl               1
C213     0.1u           C-USC0603       C0603             rcl               1
C214     0.1u           C-USC0603       C0603             rcl               1
C215     0.1u           C-USC0603       C0603             rcl               1
C216     0.1u           C-USC0603       C0603             rcl               1
C221     0.1u           C-USC0603       C0603             rcl               1
C222     0.1u           C-USC0603       C0603             rcl               1
C223     0.1u           C-USC0603       C0603             rcl               1
C224     0.1u           C-USC0603       C0603             rcl               1
C225     0.1u           C-USC0603       C0603             rcl               1
C226     0.1u           C-USC0603       C0603             rcl               1
C231     0.1u           C-USC0603       C0603             rcl               1
C232     0.1u           C-USC0603       C0603             rcl               1
C233     0.1u           C-USC0603       C0603             rcl               1
C234     0.1u           C-USC0603       C0603             rcl               1
C235     0.1u           C-USC0603       C0603             rcl               1
C236     0.1u           C-USC0603       C0603             rcl               1
C240     0.1u           C-USC0603       C0603             rcl               2
C261     0.1u           C-USC0603       C0603             rcl               1
C262     0.1u           C-USC0603       C0603             rcl               1
C263     0.1u           C-USC0603       C0603             rcl               1
C264     0.1u           C-USC0603       C0603             rcl               1
C265     0.1u           C-USC0603       C0603             rcl               1
C266     0.1u           C-USC0603       C0603             rcl               1
C271     0.1u           C-USC0603       C0603             rcl               1
C272     0.1u           C-USC0603       C0603             rcl               1
C281     10u            C-USC1206       C1206             rcl               6
C282     1u             C-USC1206       C1206             rcl               6
C283     10u            C-USC1206       C1206             rcl               6
C301     100u           CPOL-USF        PANASONIC_F       rcl               3
C302     100u           CPOL-USF        PANASONIC_F       rcl               3
C311     100u           CPOL-USF        PANASONIC_F       rcl               3
C312     100u           CPOL-USF        PANASONIC_F       rcl               3
C313     100u           CPOL-USF        PANASONIC_F       rcl               4
C314     100u           CPOL-USF        PANASONIC_F       rcl               4
C321     100u           CPOL-USF        PANASONIC_F       rcl               3
C322     100u           CPOL-USF        PANASONIC_F       rcl               3
C323     100u           CPOL-USF        PANASONIC_F       rcl               4
C324     100u           CPOL-USF        PANASONIC_F       rcl               4
C331     100u           CPOL-USF        PANASONIC_F       rcl               3
C332     100u           CPOL-USF        PANASONIC_F       rcl               3
C333     100u           CPOL-USF        PANASONIC_F       rcl               4
C334     100u           CPOL-USF        PANASONIC_F       rcl               4
