Component Type,Value,Package,adapter,isolator,isolator_bypass,isolator_iso,isolator_jung,isolator_lm317,pwrload,Required Qty,Supplier,Part num.,Order Qty,,,
"Female 0.1"" header",27 pin,,,8,,,,,,16,,,,,,
"Male 0.1"" header",16x2 pin,,,1,,,,,,2,,,,,,
"Male 0.1"" header",24x2 pin,,,2,,,,,,4,,,,,,
"Male 0.1"" header",27 pin,,2,,,,,,2,12,,,,,,
"Male 0.1"" header",3 pin,,2,,,,,,,4,,,,,,
"Male 0.1"" header",4x2 pin,,1,,,,,,8,34,,,,,,
"Male 0.1"" header",6 pin,,2,,,,,,,4,,,,,,
"Male 0.1"" header",6x2 pin,,2,1,,,,,,6,,,,,,
"Male 0.1"" header",8 pin,,1,,,,,,,2,,,,,,
"Male 0.1"" header",8x2 pin,,2,,,,,,,4,,,,,Qty of boards,
Cap (electrolytic),100u,Code F,,4,,,14,,,22,,,,,adapter,2
Cap (tantalum),330u,7343,1,,,,,,,2,,,,,isolator,2
Capacitor,0.1u,603,3,10,,30,,,,56,,,,,isolator_bypass,1
Capacitor,10n,402,4,,,,,,,8,,,,,isolator_iso,1
Capacitor,10n,603,2,2,,,,,,8,,,,,isolator_jung,1
Capacitor,10u,1206,7,4,,,,4,,26,,,,,isolator_lm317,1
Capacitor,1u,603,1,,,,,,,2,,,,,pwrload,4
Capacitor,1u,805,3,,,,,,,6,,,,,,
Capacitor,1u,1206,,7,,,5,,,19,,,,,,
Connector,SMA,,2,,,,,,,4,,,,,,
Connector,Samtec ?????,,1,,,,,,,2,,,,,,
Diode,1N4148,SOD-123,,,,,8,,,8,,,,,,
Diode,MMSZ5226B,SOD-123,,,,,2,,,2,,,,,,
Diode,MMSZ5235B,SOD-123,,,,,2,,,2,,,,,,
Ferrite bead,,1206,1,4,,,,,,10,,,,,,
LED,,1206,,,,,4,,,4,,,,,,
Logic chip,7404,TSSOP14,,,,1,,,,1,,,,,,
Logic chip,74164,TSSOP14,1,2,,1,,,,7,,,,,,
Logic chip,74165,TSSOP16,1,2,,,,,,6,,,,,,
Logic chip,74574,TSSOP20,1,2,,1,,,,7,,,,,,
Regulator,LM317,D2PAK,,3,,,,,,6,,,,,,
Regulator,LM337,D2PAK,,1,,,,,,2,,,,,,
Regulator,NCP1117-3.3,DPAK,1,2,,,,,,6,,,,,,
Resistor,0,603,6,,,,,,,12,,,,,,
Resistor,0,1206,,,36,,,4,,40,,,,,,
Resistor,1,603,1,,,,,,,2,,,,,,
Resistor,1,1206,,2,,,,,,4,,,,,,
Resistor,1.42k,603,,,,,,2,,2,,,,,,
Resistor,1.5k,1206,,,,,1,,,1,,,,,,
Resistor,10,1206,,,,,4,,,4,,,,,,
Resistor,100,603,1,1,,,,,,4,,,,,,
Resistor,10k,603,9,15,,,,,,48,,,,,,
Resistor,10k,1206,,,,,4,,,4,,,,,,
Resistor,1k,603,,3,,,,,,6,,,,,,
Resistor,1k,1206,,,,,2,,,2,,,,,,
Resistor,2.21k,603,,,,,,2,,2,,,,,,
Resistor,200,603,,,,,,2,,2,,,,,,
Resistor,22,603,1,1,,,,,,4,,,,,,
Resistor,2k,1206,,,,,1,,,1,,,,,,
Resistor,3.01k,1206,,,,,1,,,1,,,,,,
Resistor,4.12k,603,1,,,,,,,2,,,,,,
Resistor,475,1206,,,,,,1,,1,,,,,,
Resistor,499,603,,,,,4,,,4,,,,,,
Resistor,50,603,3,,,,,,,6,,,,,,
Resistor,604,1206,,,,,1,,,1,,,,,,
Resistor,649,1206,,,,,1,,,1,,,,,,
Resistor,68.1,1206,,,,,4,,,4,,,,,,
Resistor,750,1206,,,,,1,,,1,,,,,,
Resistor,825,603,,,,,2,,,2,,,,,,
Resistor,866,1206,,,,,,1,,1,,,,,,
Resistor 1 W,27,Axial,,,,,,,4,16,,,,,,
Resistor 1 W,39,Axial,,,,,,,4,16,,,,,,
Resistor 1 W,56,Axial,,,,,,,8,32,,,,,,
Resistor 5 W,100,Axial,,,,,,,8,32,,,,,,
Resistor 5 W,180,Axial,,,,,,,8,32,,,,,,
Special chip,AD8655,SO-8,,,,,2,,,2,,,,,,
Special chip,AD9515,LFCSP32,1,,,,,,,2,,,,,,
Special chip,ADM7154,SO8-EP,1,,,,,,,2,,,,,,
Special chip,ADR4525,SO-8,,,,,2,,,2,,,,,,
Special chip,ADUM3401,SO-16W,,,,2,,,,2,,,,,,
Special chip,ADUM3402,SO-16W,,,,13,,,,13,,,,,,
Special chip,DS90LV012,DBV,,1,,,,,,2,,,,,,
Special chip,LME49710,SO-8,,,,,2,,,2,,,,,,
Special chip,LT1236-10,SO-8,,,,,1,,,1,,,,,,
Special chip,MAX6220,SO-8,,,,,1,,,1,,,,,,
Transistor,B44H11,D2PAK,,,,,3,,,3,,,,,,
Transistor,B45H11,D2PAK,,,,,1,,,1,,,,,,
Transistor,BC807,SOT23,,,,,3,,,3,,,,,,
Transistor,BC817,SOT23,,,,,1,,,1,,,,,,
