#Release 12.1 - par M.53d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Sat Jun 12 20:51:53 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       nexys2_toplevel_map.ncd
#OUTPUT FILE:      nexys2_toplevel_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,
A4,fx2<1>,IBUF,IO_L24P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A5,,DIFFMI,IP_L22P_0,UNUSED,,0,,,,,,,,,
A6,fx2<9>,IBUF,IO_L20N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A7,,IBUF,IP,UNUSED,,0,,,,,,,,,
A8,fx2<16>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A9,,,VCCO_0,,,0,,,,,2.50,,,,
A10,fx2<20>,IBUF,IO_L12N_0/GCLK7,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A11,fx2<22>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A12,,,NC,,,,,,,,,,,,
A13,fx2<31>,IOB,IO_L05P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A14,fx2<34>,IOB,IO_L04N_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A15,,DIFFSI,IP_L02N_0,UNUSED,,0,,,,,,,,,
A16,fx2<38>,IBUF,IO_L01N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,PROG_B,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,DIFFS,IO_L25N_0/HSWAP,UNUSED,,0,,,,,,,,,
B4,fx2<0>,IBUF,IO_L24N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B5,,DIFFSI,IP_L22N_0,UNUSED,,0,,,,,,,,,
B6,fx2<4>,IBUF,IO_L20P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B7,,,VCCAUX,,,,,,,,2.5,,,,
B8,clk0,IBUF,IP_L13P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B9,,DIFFSI,IP_L13N_0/GCLK9,UNUSED,,0,,,,,,,,,
B10,fx2<21>,IBUF,IO_L12P_0/GCLK6,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B11,fx2<25>,IBUF,IO/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B12,,,VCCAUX,,,,,,,,2.5,,,,
